TIMESTAMP,SYMBOL,CLOSE,OPEN,HIGH,LOW,CALL_OI,PUT_OI,CALL_VOLUME,PUT_VOLUME,CALL_OI_CHANGE,PUT_OI_CHANGE,STRADDLE,PCR,SPOT_RETURN,SETTLE_PR,CONTRACTS,OPEN_INT,VAL_INLAKH
03-Mar-2025,NIFTY,22775.917780835705,22976.563297528646,22898.310002895403,22943.17769041547,547057,1805289,151829,83276,-161110,-108252,588.0,1.6864,0.6818,22994.546938796513,556840,3881328,19256.5
04-Mar-2025,BANKNIFTY,22684.142814401053,23015.734101337133,22569.15372552155,23156.3400433708,1816870,1990077,158377,87492,-133983,-74005,615.91,1.2614,1.1161,23107.99612679377,185228,6171112,32183.03
05-Mar-2025,NIFTY,22794.083366273608,22966.90079327248,22593.51611262702,22967.17862553287,2339433,1043351,31622,214074,-21624,45690,230.96,1.4586,-2.387,23273.389101154055,506346,4898064,5149.88
06-Mar-2025,BANKNIFTY,22924.926915676846,22792.636308055975,22691.57282132569,23297.702550533104,2851878,567642,78756,286010,-36007,131770,601.95,1.5806,0.9549,23355.419390578187,600547,3417703,43962.23
07-Mar-2025,NIFTY,23129.625898797367,22890.278937170773,22753.17539394943,23483.708629315683,2875328,590093,70809,381743,299137,69104,226.5,1.2323,-0.3676,23339.45242041766,149274,963038,48753.98
10-Mar-2025,BANKNIFTY,23125.746268686355,22710.139203369603,22574.603677568695,23476.55780048826,2526580,2056182,46725,495571,-67404,228988,552.96,1.0829,-1.3247,23474.533874542012,213541,5924795,48537.26
11-Mar-2025,NIFTY,23225.124687533167,22677.87910215418,22704.262814982125,23435.72126547244,1208754,717215,222468,252320,-99576,214736,799.61,1.8027,-0.9728,23295.274317596304,133947,6211263,38233.64
12-Mar-2025,BANKNIFTY,23346.312082859124,22625.09538764033,22625.476891584283,23344.824081208204,2507954,2503679,81226,447978,77192,-19447,533.48,1.068,1.2028,23209.347583108225,274692,4763735,9114.05
13-Mar-2025,NIFTY,23286.68899893841,22702.29785936682,22521.648472287274,23352.99199791074,644931,2255856,111182,41046,228327,-163592,483.93,1.1391,0.411,23136.79224967602,128874,2174572,38638.37
14-Mar-2025,BANKNIFTY,23333.23038472207,22890.062409558843,22440.17260405089,23325.91965926166,1992252,2232465,59402,258071,-31024,156150,387.71,1.9845,0.0755,23133.078171924186,653996,3155874,4155.59
17-Mar-2025,NIFTY,23412.274999807236,23034.65888723493,22454.581674751622,23382.575108891335,2759643,535954,34263,408165,117056,59568,272.31,0.4004,0.3652,23193.886331422607,154553,1400530,4039.81
18-Mar-2025,BANKNIFTY,23303.176085757023,23115.349889502344,22281.417486169572,23342.251109569137,901921,1026861,257595,451985,-165992,119278,638.61,0.6968,1.3921,23169.80077762213,672632,6221469,18209.68
19-Mar-2025,NIFTY,23500.227626289914,23039.76529202785,22281.97317652328,23507.046752548737,2508960,2544424,207900,214374,193276,-48437,315.56,1.0143,-0.1456,23061.07648228186,651926,4448966,25966.23
20-Mar-2025,BANKNIFTY,23495.57015236351,23017.748993596273,22338.506965969318,23517.052276288712,760910,1386040,77924,446366,5738,-67587,269.17,1.8921,0.0815,23178.058516445395,158249,1877833,39209.15
21-Mar-2025,NIFTY,23506.014379741115,22978.236148749576,22476.38583351855,23481.234232937622,587955,822918,366326,491463,-116441,-24305,453.06,0.512,1.7073,23149.80370978083,607007,3377640,35114.88
24-Mar-2025,BANKNIFTY,23392.33341414806,22921.802375142044,22502.5006323851,23599.148622751152,2437878,1572328,254137,296997,-144663,-109673,677.21,0.4152,-0.4974,23162.059180285356,550452,1235423,23957.43
25-Mar-2025,NIFTY,23298.802270642755,22873.508242106822,22346.745212601847,23399.44578712742,707990,2745909,482268,150900,172760,193554,647.04,0.4843,0.9272,23228.187309742465,509725,1992929,15860.45
26-Mar-2025,BANKNIFTY,23035.220518542912,22822.01167789871,22369.612039920114,23435.364389400675,2585259,616739,434880,445008,75494,2503,232.93,0.5417,-0.7556,23232.85262269322,122534,1123390,49864.85
27-Mar-2025,NIFTY,23041.839223713145,22765.200534774653,22247.38104704658,23433.43294976981,2975539,2390969,327881,89129,-175646,-56674,473.09,0.4602,-0.6238,23238.04522606253,575518,2464221,23030.52
28-Mar-2025,BANKNIFTY,23342.521928870185,22879.42649693808,22118.227628282544,23259.130886121115,1038884,1786585,393476,267091,-154814,-17068,513.46,1.1677,-0.1561,23361.70203651483,696529,4868316,24215.19
31-Mar-2025,NIFTY,23220.287595097645,22752.870070274148,21959.703195857746,23049.110492572894,2499652,1280316,381707,235550,-171855,-188656,586.73,1.3292,0.7729,23379.86637346328,492003,2456671,10690.32
01-Apr-2025,BANKNIFTY,23577.43122647624,22665.333177997687,21735.352754270465,23165.351892925883,1496261,2933828,190445,274883,227236,194966,590.1,0.8347,1.7913,23483.402011758135,206209,6481635,40356.05
02-Apr-2025,NIFTY,23747.14137798973,22475.324371472947,21672.29317411822,23275.886775767965,2205215,1866853,197469,144130,-113877,247972,418.82,1.0373,0.1448,23548.762105076345,522061,6945265,35603.06
03-Apr-2025,BANKNIFTY,23690.310724272476,22645.18230777425,21812.759823283846,23291.59378732409,1742845,1514929,420719,490514,299883,-132043,536.41,0.5467,-2.2498,23790.78861037877,269004,938563,13376.17
04-Apr-2025,NIFTY,23693.582488850745,22549.60195273534,22088.537905135152,23492.592720498655,2446504,2066847,131371,455203,6258,-94577,488.64,0.9382,0.9472,23839.918220523068,696412,1583066,6871.91
07-Apr-2025,BANKNIFTY,23677.37045190095,22628.894980541994,22024.707686134338,23540.50890232201,2989569,2920564,68709,176922,16541,120197,731.0,1.236,3.6808,23916.475012941162,695947,2354623,34983.47
08-Apr-2025,NIFTY,23882.110128708675,22685.93324376747,22160.0403493467,23685.485540651352,2735307,1980035,222192,435328,-179419,264071,518.16,1.5716,0.163,24048.673818620726,244134,5699856,33762.03
09-Apr-2025,BANKNIFTY,23944.15201632283,22844.193878298363,22117.69047115831,23730.924491113496,1406739,688456,180322,151789,-111071,-53032,464.62,0.4054,-2.5632,24056.307949814745,155713,4855957,15843.2
10-Apr-2025,NIFTY,24085.98890215745,22818.991874493353,21924.602184824478,23692.827343241257,2483851,2506032,51172,185130,85195,-13167,442.69,1.1477,0.2545,23979.765578207214,568972,1397897,47690.59
11-Apr-2025,BANKNIFTY,24128.969523600812,22705.287100019043,22013.715256198007,23560.923593069256,2496055,728504,41555,206492,-148526,-6376,543.46,0.8752,-0.0045,23922.868108472398,155418,4741237,10099.72
